Accident_ID,Date,Time,Location,Weather_Condition,Road_Surface,Light_Condition,Vehicle_Type,Driver_Age,Driver_Gender,Speed_kmph,Alcohol_Involved,Number_of_Vehicles,Number_of_Casualties,Accident_Severity,Day_of_Week,Month
1,2023-04-13,05:23,Mumbai,Clear,Dry,Daylight,Truck,47,Male,36,No,3,0,Minor,Thursday,April
2,2024-03-11,18:04,Pune,Clear,Dry,Daylight,Bicycle,53,Male,101,No,1,3,Fatal,Monday,March
3,2023-09-28,22:37,Hyderabad,Snow,Dry,Darkness,Car,66,Male,26,No,1,1,Minor,Thursday,September
4,2023-04-17,18:16,Chennai,Fog,Snowy,Daylight,Car,51,Female,75,Yes,2,5,Minor,Monday,April
5,2023-03-13,03:55,Pune,Windy,Dry,Daylight,Motorcycle,33,Female,83,No,4,1,Minor,Monday,March
6,2024-12-01,04:16,Chennai,Rain,Dry,Darkness,Auto Rickshaw,41,Male,39,No,4,4,Serious,Sunday,December
7,2023-01-21,21:44,Mumbai,Clear,Wet,Daylight,Car,31,Male,57,No,1,3,Minor,Saturday,January
8,2024-09-06,06:32,Lucknow,Clear,Dry,Darkness,Car,43,Male,94,No,1,5,Minor,Friday,September
9,2023-05-02,12:55,Pune,Clear,Wet,Daylight,Car,25,Male,77,No,2,5,Minor,Tuesday,May
10,2024-04-11,23:23,Ahmedabad,Clear,Wet,Daylight,Truck,31,Female,35,No,1,5,Minor,Thursday,April
11,2023-08-03,05:55,Mumbai,Clear,Wet,Daylight,Car,48,Male,70,No,2,0,Minor,Thursday,August
12,2023-11-27,10:12,Kolkata,Clear,Dry,Darkness,Bus,19,Female,46,No,3,5,Minor,Monday,November
13,2024-04-03,21:21,Delhi,Clear,Dry,Darkness,Bicycle,65,Male,70,Yes,1,5,Serious,Wednesday,April
14,2023-03-29,14:04,Pune,Snow,Dry,Daylight,Car,21,Male,94,No,3,3,Minor,Wednesday,March
15,2024-01-08,06:39,Ahmedabad,Clear,Dry,Daylight,Auto Rickshaw,18,Male,35,No,1,1,Minor,Monday,January
16,2023-04-10,06:21,Hyderabad,Fog,Wet,Twilight,Auto Rickshaw,37,Male,106,Yes,1,1,Minor,Monday,April
17,2024-10-25,01:52,Kolkata,Rain,Wet,Daylight,Car,31,Male,79,No,3,2,Minor,Friday,October
18,2023-05-11,23:10,Hyderabad,Clear,Wet,Darkness,Car,57,Male,95,No,3,2,Serious,Thursday,May
19,2024-10-23,17:37,Mumbai,Clear,Snowy,Daylight,Bus,42,Male,59,Yes,2,4,Minor,Wednesday,October
20,2023-11-05,14:04,Delhi,Clear,Wet,Darkness,Car,42,Male,86,No,2,3,Minor,Sunday,November
21,2023-12-10,01:27,Pune,Clear,Dry,Daylight,Car,20,Male,21,Yes,3,2,Serious,Sunday,December
22,2024-05-06,10:33,Pune,Rain,Dry,Darkness,Bicycle,22,Male,67,No,1,2,Serious,Monday,May
23,2024-02-18,21:50,Lucknow,Clear,Wet,Darkness,Auto Rickshaw,55,Female,71,No,2,3,Minor,Sunday,February
24,2024-01-21,08:47,Lucknow,Clear,Dry,Daylight,Bus,43,Male,43,No,1,1,Serious,Sunday,January
25,2023-07-11,05:18,Mumbai,Clear,Dry,Daylight,Auto Rickshaw,57,Male,112,No,4,4,Fatal,Tuesday,July
26,2023-10-04,13:10,Mumbai,Windy,Dry,Darkness,Bus,55,Female,117,No,2,4,Serious,Wednesday,October
27,2023-06-10,13:55,Delhi,Fog,Wet,Darkness,Auto Rickshaw,55,Male,103,Yes,2,4,Minor,Saturday,June
28,2024-04-04,06:00,Lucknow,Rain,Dry,Daylight,Car,21,Male,101,No,2,2,Fatal,Thursday,April
29,2023-11-10,00:40,Ahmedabad,Clear,Wet,Daylight,Auto Rickshaw,24,Female,97,No,4,1,Minor,Friday,November
30,2023-01-22,04:56,Ahmedabad,Fog,Wet,Darkness,Auto Rickshaw,47,Male,101,Yes,3,4,Minor,Sunday,January
31,2023-09-10,10:09,Delhi,Fog,Dry,Daylight,Bus,47,Male,21,No,1,3,Minor,Sunday,September
32,2024-07-14,01:12,Ahmedabad,Rain,Dry,Darkness,Motorcycle,36,Male,84,No,4,4,Minor,Sunday,July
33,2024-04-19,18:57,Jaipur,Windy,Dry,Daylight,Bus,56,Male,39,No,3,0,Minor,Friday,April
34,2023-02-28,21:24,Chennai,Clear,Wet,Darkness,Bus,52,Male,53,No,2,1,Minor,Tuesday,February
35,2024-05-25,14:06,Delhi,Snow,Wet,Twilight,Bus,57,Female,60,No,3,0,Fatal,Saturday,May
36,2024-11-12,17:39,Delhi,Snow,Snowy,Twilight,Truck,50,Male,60,No,3,1,Minor,Tuesday,November
37,2024-04-20,13:02,Bangalore,Clear,Dry,Daylight,Truck,50,Male,94,No,3,5,Minor,Saturday,April
38,2024-11-30,03:41,Kolkata,Clear,Dry,Darkness,Truck,31,Male,110,Yes,1,3,Serious,Saturday,November
39,2023-07-09,17:36,Kolkata,Windy,Dry,Daylight,Bus,55,Male,42,No,3,5,Minor,Sunday,July
40,2024-11-17,03:35,Jaipur,Clear,Wet,Daylight,Motorcycle,27,Female,57,No,3,2,Serious,Sunday,November
41,2024-07-16,11:05,Lucknow,Rain,Dry,Daylight,Bus,45,Male,63,No,3,2,Minor,Tuesday,July
42,2024-07-20,07:10,Mumbai,Windy,Dry,Daylight,Car,31,Female,86,No,3,5,Serious,Saturday,July
43,2023-09-01,12:45,Mumbai,Rain,Dry,Twilight,Motorcycle,53,Male,81,Yes,4,1,Minor,Friday,September
44,2024-05-19,07:20,Hyderabad,Clear,Dry,Daylight,Truck,55,Male,31,No,4,4,Serious,Sunday,May
45,2023-05-11,18:48,Jaipur,Rain,Dry,Darkness,Auto Rickshaw,33,Female,49,Yes,3,0,Serious,Thursday,May
46,2024-04-29,20:28,Delhi,Clear,Dry,Darkness,Auto Rickshaw,38,Female,114,Yes,3,3,Minor,Monday,April
47,2024-10-08,09:57,Jaipur,Rain,Dry,Darkness,Bicycle,45,Female,106,No,3,4,Minor,Tuesday,October
48,2023-01-21,04:27,Jaipur,Clear,Dry,Daylight,Motorcycle,50,Male,84,Yes,2,2,Minor,Saturday,January
49,2023-06-16,06:01,Jaipur,Rain,Wet,Daylight,Truck,23,Male,60,Yes,3,4,Serious,Friday,June
50,2023-10-01,03:10,Kolkata,Rain,Wet,Darkness,Motorcycle,58,Male,39,No,3,5,Serious,Sunday,October
51,2024-01-23,18:00,Jaipur,Rain,Dry,Daylight,Motorcycle,32,Female,25,Yes,4,5,Minor,Tuesday,January
52,2024-08-23,21:33,Chennai,Rain,Wet,Daylight,Auto Rickshaw,61,Male,94,Yes,4,0,Minor,Friday,August
